post_id,post_type,likes,shares,comments,created_at
1,carousel,155,36,26,2024-11-17 00:00:00
2,carousel,67,6,18,2024-12-20 00:00:00
3,carousel,406,126,194,2024-04-04 00:00:00
4,reel,369,79,250,2024-11-20 00:00:00
5,static_image,118,14,14,2024-09-04 00:00:00
6,reel,216,25,32,2024-01-28 00:00:00
7,static_image,117,37,122,2024-10-17 00:00:00
8,static_image,391,79,171,2024-12-26 00:00:00
9,carousel,215,15,48,2024-10-17 00:00:00
10,reel,144,10,25,2024-11-02 00:00:00
11,static_image,296,137,184,2024-11-16 00:00:00
12,carousel,204,64,171,2024-12-13 00:00:00
13,reel,178,29,58,2024-05-27 00:00:00
14,carousel,280,44,54,2024-03-18 00:00:00
15,reel,223,18,74,2024-11-15 00:00:00
16,static_image,118,18,31,2024-01-24 00:00:00
17,reel,497,64,168,2024-04-25 00:00:00
18,static_image,367,127,144,2024-03-05 00:00:00
19,reel,411,89,129,2024-02-02 00:00:00
20,static_image,490,56,238,2024-01-04 00:00:00
21,reel,115,40,47,2024-09-30 00:00:00
22,reel,51,11,27,2024-12-01 00:00:00
23,reel,67,17,20,2024-06-17 00:00:00
24,reel,125,15,50,2024-12-15 00:00:00
25,reel,274,119,105,2024-08-31 00:00:00
26,static_image,88,13,10,2024-11-20 00:00:00
27,static_image,435,109,144,2024-01-17 00:00:00
28,reel,288,80,101,2024-03-10 00:00:00
29,carousel,115,19,17,2024-12-28 00:00:00
30,carousel,409,63,119,2024-09-23 00:00:00
31,static_image,348,28,96,2024-07-20 00:00:00
32,static_image,112,27,40,2024-05-02 00:00:00
33,static_image,203,50,61,2024-11-23 00:00:00
34,static_image,270,67,216,2024-04-22 00:00:00
35,static_image,135,11,11,2024-12-01 00:00:00
36,reel,53,5,38,2024-01-30 00:00:00
37,reel,412,134,135,2024-01-28 00:00:00
38,reel,92,5,29,2024-11-04 00:00:00
39,static_image,270,46,57,2024-07-03 00:00:00
40,carousel,496,150,101,2024-12-10 00:00:00
41,reel,291,26,20,2024-12-28 00:00:00
42,carousel,125,13,31,2024-03-05 00:00:00
43,reel,209,26,51,2024-12-08 00:00:00
44,reel,404,42,75,2024-01-04 00:00:00
45,static_image,166,39,33,2024-03-11 00:00:00
46,reel,281,124,104,2024-11-24 00:00:00
47,static_image,61,17,17,2024-04-08 00:00:00
48,static_image,228,25,47,2024-11-08 00:00:00
49,reel,14,4,10,2024-10-09 00:00:00
50,carousel,456,100,109,2024-11-04 00:00:00
51,reel,69,8,20,2024-05-22 00:00:00
52,reel,96,9,32,2024-11-24 00:00:00
53,carousel,181,21,43,2024-11-15 00:00:00
54,reel,525,156,72,2024-02-21 00:00:00
55,reel,68,9,37,2024-05-09 00:00:00
56,carousel,292,18,22,2024-05-06 00:00:00
57,static_image,148,13,26,2024-04-11 00:00:00
58,carousel,282,143,123,2024-01-16 00:00:00
59,carousel,25,9,11,2024-03-06 00:00:00
60,reel,333,136,102,2024-09-02 00:00:00
61,static_image,268,115,141,2024-03-30 00:00:00
62,carousel,301,123,176,2024-01-06 00:00:00
63,carousel,114,27,52,2024-01-08 00:00:00
64,reel,142,11,24,2024-03-14 00:00:00
65,reel,465,102,117,2024-06-14 00:00:00
66,reel,295,125,196,2024-06-05 00:00:00
67,carousel,321,72,120,2024-11-01 00:00:00
68,carousel,259,70,192,2024-01-27 00:00:00
69,reel,363,78,200,2024-10-08 00:00:00
70,static_image,337,58,133,2024-01-14 00:00:00
